Year	Bay	Site	Size	Fucoid_F	Fucoid_G	Fucoid_T	Barnacle	M_300	M_425	M_WT	F_start	F_end	B_start	B_end	M_start	M_end					
1997	MC	BS	1	44	137	181	12	672	584	1.36	4/7/97	5/27/97	3/8/97	5/10/97	6/2/97	8/10/97					
1997	MC	BS	2	0	0	0	76	1120	736	2.79	4/7/97	5/27/97	3/8/97	5/10/97	6/2/97	8/10/97					
1997	MC	BS	4	4	26	30	135	224	296	3.14	4/7/97	5/27/97	3/8/97	5/10/97	6/2/97	8/10/97					
1997	MC	BS	8	2	13	15	204	88	72	2.98	4/7/97	5/27/97	3/8/97	5/10/97	6/2/97	8/10/97					
1997	MC	GR	0	5	46	51	0	72	24	4.08	4/7/97	5/26/97	3/9/97	5/10/97	6/2/97	8/9/97					
1997	MC	GR	1	0	0	0	0	24	32	2.87	4/7/97	5/26/97	3/9/97	5/10/97	6/2/97	8/9/97					
1997	MC	GR	2	0	0	0	0	0	24	3.31	4/7/97	5/26/97	3/9/97	5/10/97	6/2/97	8/9/97					
1997	MC	GR	4	0	0	0	2	0	0	2.49	4/7/97	5/26/97	3/9/97	5/10/97	6/2/97	8/9/97					
1997	MC	GR	8	0	0	0	0	8	0	3.62	4/7/97	5/26/97	3/9/97	5/10/97	6/2/97	8/9/97					
1997	SC	HN	0	2	133	135	0	-999.9	-999.9	-999.9	4/7/97	5/28/97	3/10/97	5/12/97	6/2/97	nd					
1997	SC	HN	1	1	23	24	1	224	248	3.39	4/7/97	5/28/97	3/10/97	5/12/97	6/2/97	8/10/97					
1997	SC	HN	2	0	0	0	121	304	160	3.43	4/7/97	5/28/97	3/10/97	5/12/97	6/2/97	8/10/97					
1997	SC	HN	4	0	0	0	101	640	592	2.93	4/7/97	5/28/97	3/10/97	4/7/97	6/2/97	8/10/97					
1997	SC	HN	8	0	0	0	147	104	64	2.57	4/7/97	5/28/97	3/10/97	5/12/97	6/2/97	8/10/97					
1997	SC	MD	0	3	18	21	6	112	112	3.23	4/7/97	5/28/97	3/9/97	5/11/97	6/2/97	8/10/97					
1997	SC	MD	1	0	72	72	0	944	920	2.91	4/7/97	5/28/97	3/9/97	4/7/97	6/2/97	8/10/97					
1997	SC	MD	2	0	4	4	16	88	72	3.65	4/7/97	5/28/97	3/9/97	5/11/97	6/2/97	8/10/97					
1997	SC	MD	4	0	0	0	26	120	120	2.63	4/7/97	5/28/97	3/9/97	5/11/97	6/2/97	8/10/97					
1997	SC	MD	8	0	1	1	1	720	944	4.11	4/7/97	5/28/97	3/9/97	4/7/97	6/2/97	8/10/97					
1997	SC	PL	0	6	28	34	23	520	608	3.45	4/7/97	5/28/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	SC	PL	1	15	26	41	16	80	104	3.02	4/7/97	5/28/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	SC	PL	2	0	6	6	9	48	40	2.83	4/7/97	5/28/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	SC	PL	4	0	0	0	2	24	48	3.74	4/7/97	5/28/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	SC	PL	8	0	0	0	0	136	72	2.78	4/7/97	5/28/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	TC	JL	0	75	217	292	79	152	248	3.22	4/7/97	5/26/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	TC	JL	1	3	195	198	132	328	224	3.40	4/7/97	5/26/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	TC	JL	2	0	64	64	17	1368	456	4.16	4/7/97	5/26/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	TC	JL	4	0	0	0	118	24	72	2.30	4/7/97	5/26/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	TC	JL	8	0	0	0	90	24	32	3.13	4/7/97	5/26/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	TC	LD	0	100	594	694	0	24	24	1.81	4/7/97	5/27/97	3/9/97	5/10/97	6/2/97	8/9/97					
1997	TC	LD	1	2	135	137	8	64	88	3.22	4/7/97	5/27/97	3/9/97	5/10/97	6/2/97	8/9/97					
1997	TC	LD	2	0	47	47	0	88	64	3.43	4/7/97	5/27/97	3/9/97	5/10/97	6/2/97	8/9/97					
1997	TC	LD	4	0	0	0	90	24	32	3.79	4/7/97	5/27/97	3/9/97	5/10/97	6/2/97	8/9/97					
1997	TC	LD	8	0	0	0	33	24	24	3.43	4/7/97	5/27/97	3/9/97	5/10/97	6/2/97	8/9/97					
1997	TC	LH	0	12	70	82	7	-999.9	-999.9	-999.9	4/7/97	5/27/97	3/9/97	5/11/97	6/2/97	nd					
1997	TC	LH	1	0	2	2	2	752	360	2.58	4/7/97	5/27/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	TC	LH	2	5	45	50	52	232	200	3.23	4/7/97	5/27/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	TC	LH	4	0	0	0	51	32	40	2.09	4/7/97	5/27/97	3/9/97	5/11/97	6/2/97	8/8/97					
1997	TC	LH	8	0	0	0	96	112	232	3.18	4/7/97	5/27/97	3/9/97	5/11/97	6/2/97	8/8/97					
1998	BC	DK	0	1	40	41	26	-999.9	-999.9	-999.9	3/26/98	5/25/98	3/26/98	5/25/98	nd	nd					
1998	BC	DK	1	0	0	0	14	-999.9	-999.9	-999.9	3/26/98	5/25/98	3/26/98	5/25/98	nd	nd					
1998	BC	DK	2	0	15	15	56	-999.9	-999.9	-999.9	3/26/98	5/25/98	3/26/98	5/25/98	nd	nd					
1998	BC	DK	4	0	0	0	0	-999.9	-999.9	-999.9	3/26/98	5/25/98	3/26/98	5/25/98	nd	nd					
1998	BC	DK	8	0	0	0	200	-999.9	-999.9	-999.9	3/26/98	5/25/98	3/26/98	5/25/98	nd	nd					
1998	BC	LC	0	12	79	91	135	-999.9	-999.9	-999.9	3/26/98	5/25/98	3/26/98	5/25/98	nd	nd					
1998	BC	LC	1	0	26	26	41	-999.9	-999.9	-999.9	3/26/98	5/25/98	3/26/98	5/25/98	nd	nd					
1998	BC	LC	2	9	3	12	287	-999.9	-999.9	-999.9	3/26/98	5/27/98	3/26/98	5/27/98	nd	nd					
1998	BC	LC	4	0	0	0	130	-999.9	-999.9	-999.9	3/26/98	5/25/98	3/26/98	5/25/98	nd	nd					
1998	BC	LC	8	1	0	1	149	-999.9	-999.9	-999.9	3/26/98	5/25/98	3/26/98	5/25/98	nd	nd					
1998	BC	MP	0	1	28	29	81	-999.9	-999.9	-999.9	3/27/98	5/25/98	3/27/98	5/25/98	nd	nd					
1998	BC	MP	1	3	5	8	59	-999.9	-999.9	-999.9	3/27/98	5/25/98	3/27/98	5/25/98	nd	nd					
1998	BC	MP	2	0	0	0	182	-999.9	-999.9	-999.9	3/27/98	5/25/98	3/27/98	5/25/98	nd	nd					
1998	BC	MP	4	0	0	0	214	-999.9	-999.9	-999.9	3/27/98	5/25/98	3/27/98	5/25/98	nd	nd					
1998	BC	MP	8	0	0	0	34	-999.9	-999.9	-999.9	3/27/98	5/25/98	3/27/98	5/25/98	nd	nd					
1998	MC	BO	0	2	94	96	3	-999.9	-999.9	-999.9	3/27/98	5/28/98	3/27/98	5/28/98	nd	nd					
1998	MC	BO	1	1	3	4	0	-999.9	-999.9	-999.9	3/27/98	5/28/98	3/27/98	5/28/98	nd	nd					
1998	MC	BO	2	18	91	109	107	-999.9	-999.9	-999.9	3/27/98	5/28/98	3/27/98	5/28/98	nd	nd					
1998	MC	BO	4	0	0	0	377	-999.9	-999.9	-999.9	3/27/98	5/28/98	3/27/98	5/28/98	nd	nd					
1998	MC	BO	8	0	0	0	381	-999.9	-999.9	-999.9	3/27/98	5/28/98	3/27/98	5/28/98	nd	nd					
1998	MC	BS	0	88	364	452	53	-999.9	-999.9	-999.9	3/26/98	5/24/98	3/26/98	5/24/98	nd	nd					
1998	MC	BS	1	4	524	528	0	-999.9	-999.9	-999.9	3/26/98	5/24/98	3/26/98	5/24/98	nd	nd					
1998	MC	BS	2	52	45	97	0	-999.9	-999.9	-999.9	3/26/98	5/24/98	3/26/98	5/24/98	nd	nd					
1998	MC	BS	4	0	0	0	254	-999.9	-999.9	-999.9	3/26/98	5/24/98	3/26/98	5/24/98	nd	nd					
1998	MC	BS	8	0	0	0	347	-999.9	-999.9	-999.9	3/26/98	5/24/98	3/26/98	5/24/98	nd	nd					
1998	MC	GR	0	0	46	46	1	-999.9	-999.9	-999.9	3/27/98	5/26/98	3/27/98	5/26/98	nd	nd					
1998	MC	GR	1	0	2	2	0	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	MC	GR	2	0	0	0	0	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	MC	GR	4	0	0	0	0	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	MC	GR	8	0	0	0	5	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	SC	HN	0	3	22	25	0	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	SC	HN	1	14	139	153	3	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	SC	HN	2	19	16	35	13	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	SC	HN	4	3	7	10	27	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	SC	HN	8	13	27	40	199	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	SC	MD	0	23	48	71	0	-999.9	-999.9	-999.9	3/27/98	5/26/98	3/27/98	5/26/98	nd	nd					
1998	SC	MD	1	11	23	34	0	-999.9	-999.9	-999.9	3/27/98	5/26/98	3/27/98	5/26/98	nd	nd					
1998	SC	MD	2	5	80	85	3	-999.9	-999.9	-999.9	3/27/98	5/26/98	3/27/98	5/26/98	nd	nd					
1998	SC	MD	4	20	18	38	0	-999.9	-999.9	-999.9	3/27/98	5/26/98	3/27/98	5/26/98	nd	nd					
1998	SC	MD	8	1	0	1	0	-999.9	-999.9	-999.9	3/27/98	5/26/98	3/27/98	5/26/98	nd	nd					
1998	SC	PL	0	9	91	100	0	-999.9	-999.9	-999.9	3/27/98	5/26/98	3/27/98	5/26/98	nd	nd					
1998	SC	PL	1	5	52	57	0	-999.9	-999.9	-999.9	3/27/98	5/26/98	3/27/98	5/26/98	nd	nd					
1998	SC	PL	2	0	2	2	3	-999.9	-999.9	-999.9	3/27/98	5/26/98	3/27/98	5/26/98	nd	nd					
1998	SC	PL	4	0	0	0	10	-999.9	-999.9	-999.9	3/27/98	5/26/98	3/27/98	5/26/98	nd	nd					
1998	SC	PL	8	0	0	0	8	-999.9	-999.9	-999.9	3/27/98	5/26/98	3/27/98	5/26/98	nd	nd					
1998	TC	JL	0	3	127	130	162	-999.9	-999.9	-999.9	3/30/98	5/28/98	3/30/98	5/28/98	nd	nd					
1998	TC	JL	1	11	192	203	0	-999.9	-999.9	-999.9	3/30/98	5/28/98	3/30/98	5/28/98	nd	nd					
1998	TC	JL	2	0	140	140	5	-999.9	-999.9	-999.9	3/30/98	5/28/98	3/30/98	5/28/98	nd	nd					
1998	TC	JL	4	9	120	129	145	-999.9	-999.9	-999.9	3/30/98	5/28/98	3/30/98	5/28/98	nd	nd					
1998	TC	JL	8	0	7	7	203	-999.9	-999.9	-999.9	3/30/98	5/28/98	3/30/98	5/28/98	nd	nd					
1998	TC	LD	0	30	178	208	1	-999.9	-999.9	-999.9	3/28/98	5/27/98	3/28/98	5/27/98	nd	nd					
1998	TC	LD	1	15	227	242	0	-999.9	-999.9	-999.9	3/28/98	5/27/98	3/28/98	5/27/98	nd	nd					
1998	TC	LD	2	1	1	2	9	-999.9	-999.9	-999.9	3/28/98	5/27/98	3/28/98	5/27/98	nd	nd					
1998	TC	LD	4	8	50	58	0	-999.9	-999.9	-999.9	3/28/98	5/27/98	3/28/98	5/27/98	nd	nd					
1998	TC	LD	8	0	23	23	5	-999.9	-999.9	-999.9	3/28/98	5/27/98	3/28/98	5/27/98	nd	nd					
1998	TC	LH	0	29	330	359	0	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	TC	LH	1	7	0	7	0	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	TC	LH	2	11	138	149	0	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	TC	LH	4	0	2	2	223	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1998	TC	LH	8	4	34	38	0	-999.9	-999.9	-999.9	3/26/98	5/26/98	3/26/98	5/26/98	nd	nd					
1999	BC	DK	0	-999.9	-999.9	-999.9	5	4	12	1.48	nd	nd	5/15/99	6/14/99	6/15/99	8/28/99					
1999	BC	DK	1	-999.9	-999.9	-999.9	12	0	4	1.65	nd	nd	5/15/99	6/14/99	6/15/99	8/28/99					
1999	BC	DK	2	-999.9	-999.9	-999.9	26	2	8	2.16	nd	nd	5/15/99	6/14/99	6/15/99	8/28/99					
1999	BC	DK	4	-999.9	-999.9	-999.9	88	0	0	1.54	nd	nd	5/15/99	6/14/99	6/15/99	8/28/99					
1999	BC	DK	8	-999.9	-999.9	-999.9	148	2	20	1.75	nd	nd	5/15/99	6/14/99	6/15/99	8/28/99					
1999	BC	LC	0	-999.9	-999.9	-999.9	32	8	30	1.63	nd	nd	5/15/99	6/13/99	6/14/99	8/26/99					
1999	BC	LC	1	-999.9	-999.9	-999.9	51	2	10	2.03	nd	nd	5/15/99	6/13/99	6/14/99	8/26/99					
1999	BC	LC	2	-999.9	-999.9	-999.9	150	2	26	1.88	nd	nd	5/15/99	6/13/99	6/14/99	8/26/99					
1999	BC	LC	4	-999.9	-999.9	-999.9	162	2	16	2.14	nd	nd	5/15/99	6/13/99	6/14/99	8/26/99					
1999	BC	LC	8	-999.9	-999.9	-999.9	201	0	6	1.93	nd	nd	5/15/99	6/13/99	6/14/99	8/26/99					
1999	BC	MP	0	7	-999.9	-999.9	1	52	60	2.18	5/15/99	6/13/99	5/15/99	6/13/99	6/14/99	8/26/99					
1999	BC	MP	1	-999.9	-999.9	-999.9	148	12	42	1.74	nd	nd	5/15/99	6/13/99	6/14/99	8/26/99					
1999	BC	MP	2	-999.9	-999.9	-999.9	171	16	46	1.83	nd	nd	5/15/99	6/13/99	6/14/99	8/26/99					
1999	BC	MP	4	16	-999.9	-999.9	211	28	58	1.84	5/15/99	6/13/99	5/15/99	6/13/99	6/14/99	8/26/99					
1999	BC	MP	8	-999.9	-999.9	-999.9	272	14	22	2.20	nd	nd	5/15/99	6/13/99	6/14/99	8/26/99					
1999	MC	BO	0	0	-999.9	-999.9	31	10	134	1.68	5/14/99	6/13/99	5/14/99	6/13/99	6/14/99	8/26/99					
1999	MC	BO	1	-999.9	-999.9	-999.9	75	12	44	1.63	nd	nd	5/14/99	6/13/99	6/14/99	8/26/99					
1999	MC	BO	2	-999.9	-999.9	-999.9	105	18	150	1.33	nd	nd	5/14/99	6/13/99	6/14/99	8/26/99					
1999	MC	BO	4	2	-999.9	-999.9	110	268	340	1.47	5/14/99	6/13/99	5/14/99	6/13/99	6/14/99	8/26/99					
1999	MC	BO	8	-999.9	-999.9	-999.9	205	60	178	1.66	nd	nd	5/14/99	6/13/99	6/14/99	8/26/99					
1999	MC	BS	0	0	-999.9	-999.9	27	26	222	1.68	5/17/99	6/13/99	5/17/99	6/13/99	6/15/99	8/29/99					
1999	MC	BS	1	1	-999.9	-999.9	54	84	312	1.29	5/17/99	6/13/99	5/17/99	6/13/99	6/15/99	8/29/99					
1999	MC	BS	2	-999.9	-999.9	-999.9	69	40	148	1.86	nd	nd	5/17/99	6/13/99	6/15/99	8/29/99					
1999	MC	BS	4	16	-999.9	-999.9	164	82	152	1.65	5/17/99	6/13/99	5/17/99	6/13/99	6/15/99	8/29/99					
1999	MC	BS	8	-999.9	-999.9	-999.9	235	12	84	1.66	nd	nd	5/17/99	6/13/99	6/15/99	8/29/99					
1999	MC	GR	0	-999.9	-999.9	-999.9	0	0	2	1.27	nd	nd	5/16/99	6/14/99	6/15/99	8/27/99					
1999	MC	GR	1	-999.9	-999.9	-999.9	0	0	2	1.46	nd	nd	5/16/99	6/14/99	6/15/99	8/27/99					
1999	MC	GR	2	-999.9	-999.9	-999.9	0	0	2	1.51	nd	nd	5/16/99	6/14/99	6/15/99	8/27/99					
1999	MC	GR	4	-999.9	-999.9	-999.9	0	0	2	1.89	nd	nd	5/16/99	6/14/99	6/15/99	8/27/99					
1999	MC	GR	8	-999.9	-999.9	-999.9	0	0	0	1.43	nd	nd	5/14/99	6/13/99	6/15/99	8/27/99					
1999	SC	HN	0	-999.9	-999.9	-999.9	0	16	90	1.80	nd	nd	5/14/99	6/13/99	6/15/99	8/28/99					
1999	SC	HN	1	-999.9	-999.9	-999.9	0	2	24	1.82	nd	nd	5/14/99	6/13/99	6/15/99	8/28/99					
1999	SC	HN	2	-999.9	-999.9	-999.9	1	0	12	1.58	nd	nd	5/14/99	6/13/99	6/15/99	8/28/99					
1999	SC	HN	4	-999.9	-999.9	-999.9	2	2	16	1.87	nd	nd	5/14/99	6/13/99	6/15/99	8/28/99					
1999	SC	HN	8	-999.9	-999.9	-999.9	93	0	2	1.75	nd	nd	5/14/99	6/13/99	6/15/99	8/28/99					
1999	SC	MD	0	-999.9	-999.9	-999.9	0	4	44	1.61	nd	nd	5/14/99	6/13/99	6/15/99	8/30/99					
1999	SC	MD	1	-999.9	-999.9	-999.9	0	6	292	1.77	nd	nd	5/14/99	6/13/99	6/15/99	8/30/99					
1999	SC	MD	2	-999.9	-999.9	-999.9	2	2	154	1.81	nd	nd	5/14/99	6/13/99	6/15/99	8/30/99					
1999	SC	MD	4	-999.9	-999.9	-999.9	12	42	248	1.76	nd	nd	5/14/99	6/13/99	6/15/99	8/30/99					
1999	SC	MD	8	-999.9	-999.9	-999.9	15	8	138	2.01	nd	nd	5/14/99	6/13/99	6/15/99	8/30/99					
1999	SC	PL	0	-999.9	-999.9	-999.9	0	46	164	1.55	nd	nd	5/14/99	6/13/99	6/15/99	8/25/99					
1999	SC	PL	1	-999.9	-999.9	-999.9	0	2	0	1.68	nd	nd	5/14/99	6/13/99	6/15/99	8/25/99					
1999	SC	PL	2	-999.9	-999.9	-999.9	0	8	40	1.75	nd	nd	5/14/99	6/13/99	6/15/99	8/25/99					
1999	SC	PL	4	-999.9	-999.9	-999.9	0	4	38	1.81	nd	nd	5/14/99	6/13/99	6/15/99	8/25/99					
1999	SC	PL	8	-999.9	-999.9	-999.9	0	6	56	1.71	nd	nd	5/14/99	6/13/99	6/15/99	8/25/99					
1999	TC	JL	0	5	-999.9	-999.9	10	28	36	1.08	5/14/99	6/14/99	5/14/99	6/14/99	6/15/99	8/30/99					
1999	TC	JL	1	0	-999.9	-999.9	11	62	114	1.74	5/14/99	6/14/99	5/14/99	6/14/99	6/15/99	8/30/99					
1999	TC	JL	2	-999.9	-999.9	-999.9	15	24	26	1.92	nd	nd	5/14/99	6/14/99	6/15/99	8/30/99					
1999	TC	JL	4	16	-999.9	-999.9	77	4	6	1.46	5/14/99	6/14/99	5/14/99	6/14/99	6/15/99	8/30/99					
1999	TC	JL	8	-999.9	-999.9	-999.9	183	32	34	1.54	nd	nd	5/14/99	6/14/99	6/15/99	8/30/99					
1999	TC	LD	0	-999.9	-999.9	-999.9	0	24	14	1.41	nd	nd	5/16/99	6/14/99	6/15/99	8/29/99					
1999	TC	LD	1	0	-999.9	-999.9	0	48	96	1.74	5/16/99	6/14/99	5/16/99	6/14/99	6/15/99	8/29/99					
1999	TC	LD	2	-999.9	-999.9	-999.9	0	76	90	1.63	nd	nd	5/16/99	6/14/99	6/15/99	8/29/99					
1999	TC	LD	4	0	-999.9	-999.9	4	86	188	1.46	5/16/99	6/14/99	5/16/99	6/14/99	6/15/99	8/29/99					
1999	TC	LD	8	-999.9	-999.9	-999.9	4	8	18	1.57	nd	nd	5/16/99	6/14/99	6/15/99	8/29/99					
1999	TC	LH	0	-999.9	-999.9	-999.9	0	38	80	1.83	nd	nd	5/16/99	6/13/99	6/15/99	8/25/99					
1999	TC	LH	1	-999.9	-999.9	-999.9	1	84	170	1.61	nd	nd	5/16/99	6/13/99	6/15/99	8/25/99					
1999	TC	LH	2	-999.9	-999.9	-999.9	12	128	274	1.56	nd	nd	5/16/99	6/13/99	6/15/99	8/25/99					
1999	TC	LH	4	-999.9	-999.9	-999.9	12	2	4	1.67	nd	nd	5/16/99	6/13/99	6/15/99	8/25/99					
1999	TC	LH	8	-999.9	-999.9	-999.9	26	348	582	1.61	nd	nd	5/16/99	6/13/99	6/15/99	8/25/99					
2000	BC	DK	0	13	40	53	0	16	12	2.66	3/16/00	5/5/00	3/16/00	5/5/00	6/4/00	8/24/00					
2000	BC	DK	1	-999.9	-999.9	-999.9	37	4	14	2.59	3/16/00	nd	3/16/00	5/5/00	6/4/00	8/24/00					
2000	BC	DK	2	1	4	5	114	6	14	2.09	3/16/00	5/5/00	3/16/00	5/5/00	6/4/00	8/24/00					
2000	BC	DK	4	12	34	46	85	4	0	2.45	3/16/00	5/5/00	3/16/00	5/5/00	6/4/00	8/24/00					
2000	BC	DK	8	21	74	95	131	8	16	2.38	3/16/00	5/5/00	3/16/00	5/5/00	6/4/00	8/24/00					
2000	BC	LC	0	0	8	8	110	8	34	2.29	3/15/00	5/4/00	3/15/00	5/4/00	6/1/00	8/24/00					
2000	BC	LC	1	12	35	47	114	14	12	2.47	3/15/00	5/4/00	3/15/00	5/4/00	6/1/00	8/24/00					
2000	BC	LC	2	0	32	32	177	36	32	3.02	3/15/00	5/4/00	3/15/00	5/4/00	6/1/00	8/24/00					
2000	BC	LC	4	2	110	112	192	2	2	2.71	3/15/00	5/4/00	3/15/00	5/4/00	6/1/00	8/24/00					
2000	BC	LC	8	5	7	12	242	2	0	2.38	3/15/00	5/4/00	3/15/00	5/4/00	6/1/00	8/24/00					
2000	BC	MP	0	0	46	46	21	60	82	2.61	3/16/00	5/4/00	3/16/00	5/4/00	6/3/00	8/24/00					
2000	BC	MP	1	0	0	0	269	32	34	3.34	3/16/00	5/4/00	3/16/00	5/4/00	6/3/00	8/24/00					
2000	BC	MP	2	0	16	16	444	18	26	2.39	3/16/00	5/4/00	3/16/00	5/4/00	6/3/00	8/24/00					
2000	BC	MP	4	0	25	25	398	22	38	2.99	3/16/00	5/4/00	3/16/00	5/4/00	6/3/00	8/24/00					
2000	BC	MP	8	0	0	0	206	2	4	2.76	3/16/00	5/4/00	3/16/00	5/4/00	6/3/00	8/24/00					
2000	MC	BO	0	0	0	0	94	108	136	1.90	3/18/00	5/3/00	3/18/00	5/3/00	6/3/00	8/23/00					
2000	MC	BO	1	0	0	0	6	178	230	1.47	3/18/00	5/3/00	3/18/00	5/3/00	6/3/00	8/23/00					
2000	MC	BO	2	0	0	0	426	46	146	1.49	3/18/00	5/3/00	3/18/00	5/3/00	6/3/00	8/23/00					
2000	MC	BO	4	0	0	0	519	174	362	1.48	3/18/00	5/3/00	3/18/00	5/3/00	6/3/00	8/23/00					
2000	MC	BO	8	0	2	2	169	10	58	1.75	3/18/00	5/3/00	3/18/00	5/3/00	6/3/00	8/23/00					
2000	MC	BS	0	0	84	84	287	84	300	1.90	3/17/00	5/4/00	3/17/00	5/4/00	6/4/00	8/23/00					
2000	MC	BS	1	0	125	125	75	54	122	1.60	3/17/00	5/4/00	3/17/00	5/4/00	6/4/00	8/23/00					
2000	MC	BS	2	-999.9	-999.9	-999.9	-999.9	44	120	2.06	nd	nd	nd	nd	6/4/00	8/23/00					
2000	MC	BS	4	0	0	0	462	116	226	2.08	3/17/00	5/4/00	3/17/00	5/4/00	6/4/00	8/23/00					
2000	MC	BS	8	0	0	0	480	6	42	2.26	3/17/00	5/4/00	3/17/00	5/4/00	6/4/00	8/23/00					
2000	MC	GR	0	0	0	0	0	98	34	2.20	3/15/00	5/3/00	3/15/00	5/3/00	6/3/00	8/23/00					
2000	MC	GR	1	0	2	2	0	38	64	1.77	3/15/00	5/3/00	3/15/00	5/3/00	6/3/00	8/23/00					
2000	MC	GR	2	3	9	12	83	130	132	2.27	3/15/00	5/3/00	3/15/00	5/3/00	6/3/00	8/23/00					
2000	MC	GR	4	3	4	7	59	20	46	1.58	3/15/00	5/3/00	3/15/00	5/3/00	6/3/00	8/23/00					
2000	MC	GR	8	0	14	14	94	10	212	2.89	3/15/00	5/3/00	3/15/00	5/3/00	6/3/00	8/23/00					
2000	SC	HN	0	3	4	7	35	8	8	2.78	3/17/00	5/4/00	3/17/00	5/4/00	6/1/00	8/25/00					
